tweet,label
"['eat', 'oreo', 'lol', 'amp', 'dish', 'lemmie']",0
"['maybe', 'fuck', 'well', 'bitch']",1
"['fuck', 'ass', 'use', 'complete', 'sentence', 'bitch', 'niggah', 'malone', 'red', 'man']",1
"['like', 'doe', 'eggplant', 'look', 'scream', 'lmao', 'emoji']",0
"['venom', 'bitch', 'sexy', 'hennessey']",1
"['seh', 'ahmesehwetness', 'shower', 'lmao', 'wetter', 'curtain', 'pussy']",1
"['eagle', 'post', 'shit', 'eaglesnation', 'say', 'bitch', 'pic', 'racist', 'need']",1
"['skateboard', 'fuck', 'push', 'life', 'faggot', 'wood', 'ball', 'man']",1
"['bathtime', 'monkey', 'baby', 'adorable', 'soooo', 'awwwwe']",0
"['lol', 'skippy', 'shit', 'damn']",1
"['sidewalk', 'kill', 'way', 'ant', 'nigga', 'think', 'chance', 'damn', 'pussy']",1
"['lol', 'mvps', 'bitch', 'ring']",1
"['ppl', 'bad', 'grow', 'hood', 'nigga', 'talk', 'ghetto', 'funnnnnnn', 'kid']",1
"['fact', 'tattoos', 'tattoo', 'nipple', 'pussy']",1
"['like', 'bitches', 'niggas', 'bad', 'shit', 'cuteeeee', 'bitch', 'act', 'want']",1
"['bitch', 'worship', 'woof']",1
"['hoe', 'buttcheek', 'lose', 'yeah', 'wow', 'piercing']",1
"['bitch', 'work', 'sis', 'shrug', 'broke', 'tell']",1
"['gaywad', 'queer']",1
"['read', 'funny', 'tweet', 'faggot', 'lol']",1
"['ungrateful', 'bitch', 'lulwhore']",1
"['kidnap', 'bitch']",1
"['mexican', 'alsarabsss', 'smh', 'beaner', 'tell']",1
"['birthday', 'nig', 'happy', 'thank']",1
"['bitch', 'homework', 'need', 'teacher', 'tell']",1
"['paul', 'nigga', 'say', 'hoe', 'eat', 'lol', 'yea', 'hell', 'john']",1
"['ugly', 'weave', 'make', 'bitch', 'stop', 'amp', 'bald', 'lil', 'head']",1
"['loot', 'well', 'riot', 'shit', 'start', 'game', 'win', 'nig', 'earlychristmas', 'leafs', 'damn', 'better']",1
"['attend', 'go', 'hoe', 'dick', 'school', 'suck']",1
"['way', 'year', 'fuck', 'bitch', 'old']",1
"['come', 'food', 'car', 'bring', 'retard']",1
"['like', 'anymore', 'friend', 'hoe', 'prople', 'hella', 'chill', 'tinder', 'richnow', 'bring']",1
"['shutup', 'bout', 'cowboy', 'pussy']",1
"['like', 'lmaooooooooooo', 'shit', 'foh', 'nigga', 'bitch', 'want', 'depressing']",1
"['shit', 'go', 'girl', 'bitch', 'know', 'amp', 'spit', 'lbvs', 'plz']",1
"['tweet', 'page', 'bitch', 'let', 'couple', 'lmao', 'trick', 'twitt', 'jail', 'cuzzo']",1
"['shake', 'harlem', 'second', 'excuse', 'retard']",1
"['emotionally', 'like', 'foh', 'hoe', 'amen', 'act', 'miley', 'damage', 'need']",1
"['wayyyyy', 'loyal', 'hoe', 'female', 'better', 'idc', 'have']",1
"['meow', 'lick', 'stopwhitepeople2014', 'pussy']",1
"['check', 'stand', '12th', 'fan', 'cowboysnation', 'faggot', 'man']",1
"['like', 'throw', 'foothill', 'get', 'bitch', 'run', 'happen', 'vixen', 'ent']",1
"['okay', 'nude', 'pat', 'bitch', 'wow']",1
"['fuck', 'hoe', 'gay', 'hold', 'blacklisted', 'tehgodclan']",1
"['fuck', 'bitch', 'wrong', 'know']",1
"['bitch', 'shut']",1
"['pregnant', 'type', 'hate', 'bitch']",1
"['get', 'bitch', ""read'em""]",1
"['start', 'yankee', 'season', 'win', 'love', 'baseball']",0
"['yoooooouuuu', 'fuck', 'bitch', 'stupid', 'little']",1
"['ass', 'bitch', 'lol', 'dead', 'ask', 'wheet']",1
"['early', 'night', 'wise', 'bird', 'owl', 'worm']",0
"['bad', 'shit', 'sound', 'tonight', 'heavy', 'drug', 'day', 'overdose', 'pussy']",0
"['tale', 'fairy', 'pit', 'creature', 'photograph', 'lovely', 'bull']",0
"['tweet', 'lol', 'fag']",1
"['laker', 'long', 'hahaha', 'careless', 'real', 'trash']",0
"['faggot', 'kiss']",1
"['coloured', 'wear', 'cargos', 'girl', 'haircut', 'cheat', 'play', 'yup', 'khaki', 'soccer']",0
"['ass', 'lap', 'fat', 'bitch']",1
"['twitter', 'finna', 'freemoneymelle', 'das', 'bitch', 'screamn', 'miss', 'call']",1
"['shit', 'anybody', 'move', 'get', 'cousin', 'bout', 'lmmfao', 'bitch', 'know', 'rule', 'jersey', 'thinkin', 'ask']",1
"['fuck', 'pies', 'los', 'amo', 'yeah']",1
"['ass', 'ainna', 'slap', 'hoe', 'think', 'meat', 'bruh']",1
"['talk', 'wit', 'bitch', 'edge']",1
"['year', 'tooth', 'bag', 'shit', 'bandit', 'treat', 'steal', 'go', 'bitch', 'hell', 'sweet', 'yeah', 'trick', 'nah']",1
"['fuck', 'come', 'like', 'get', 'sex', 'wanna', 'right', 'damn', 'hack', 'mom', 'pussy']",1
"['lmfao', 'watch', 'bitch', 'open', 'eye', 'kiss']",1
"['woulda', 'ass', 'coulda', 'hoe', 'shoulda']",1
"['ass', 'bday', 'roll', 'nigga', 'bitch', 'happy']",1
"['send', 'bitch']",1
"['ugly', 'wcw', 'like', 'duh', 'bitch', 'else']",1
"['throw', 'nigga', 'hoe', 'pass', 'know', 'hacky', 'look', 'sack', 'lmao', 'nah']",1
"['niggas', 'mad', 'get', 'dumb', 'bitch', 'amp', 'atlanta', 'glad', 'fuckin', 'kid', 'bunch', 'jail', 'outta']",1
"['smart', 'ghetto', 'idc']",0
"['wife', 'relationship', 'hoe', 'place', 'force', 'care', 'cheat', 'cuz']",1
"['excuse', 'single', 'hoe']",1
"['power', 'boy', 'white', 'bitch', 'black']",1
"['fuck', 'shit', 'spark', 'white', 'hoe', 'let', 'chill', 'amp', 'spit', 'dude', 'bro', 'blunts', 'drunk', 'blow']",1
"['world', 'bitch']",1
"['bad', 'bitch', 'go', 'dick', 'suck', 'set', 'party']",1
"['hoe', 'probably', 'oomf', 'lot', 'soooo', 'cute']",1
"['alway', 'cartoon', 'hoe', 'save', 'captain', 'damn', 'saveahoe', 'lmao', '-PRON-']",1
"['sockfetish', 'bad', 'leg', 'nose', 'stink', 'hot', 'sox', 'bois', 'want', 'chav', 'scally']",0
"['keezy', 'like', 'ooooow', 'bitch', 'brother', 'bet', 'wish']",1
"['dress', 'basic', 'halloween', 'cat', 'pussy']",1
"['gtfo', 'katie', 'stream', 'pornhub', 'dumb', 'bitch', 'game', 'feature']",1
"['bed', 'ass', 'guy', 'like', 'niggas', 'foh', 'sex', 'bitch', 'say', 'stop', 'choke', 'scare', 'woman', 'hit']",1
"['loyal', 'hoe', 'nig', 'iguess', 'bro']",1
"['fuck', 'seed', 'fix', 'molly', 'man']",1
"['refer', 'bitch', 'girl', 'man']",1
"['start', 'shit', 'lmfao', 'get', 'nigga', 'finally', 'cat', 'beat', 'pussy']",1
"['trash', 'peel', 'shaq', 'ooooow', 'rewind', 'line', 'say', 'bring']",0
"['alu', 'record', 'sai', 'lol', 'hahahaha', 'vine', 'haha', 'anywaaaaaay']",1
"['mayne', 'tape', 'kingofthehill', 'upcoming', 'new', 'old', 'hoe', 'mixtape', 'naw', 'yeah', 'wait', 'cover']",1
"['ass', 'funny', 'dirty', 'foot', 'bitch']",1
"['amazing', 'flag', 'niggy', 'hell', 'yeah', 'yellow']",1
"['got', 'time', 'bitch', 'actin', 'iffy']",1
"['come', 'knight', 'early', 'bird', 'special', 'alive', 'ucfpinkparty', 'comeatmeut', 'nation', 'stay']",0
"['wonder', 'decent', 'loyal', 'hoe', 'amp', 'smfh', 'want']",1
"['stud', 'time', 'okay', 'bitch', 'girl', 'hoe', 'think', 'hell', 'soft', 'scream', 'stfu', 'ask', 'bruh', 'bye']",1
"['blame', 'condom', 'bitch', 'dry', 'pussy']",1
"['ass', 'bitch', 'shut']",1
"['month', 'mane', 'text', 'gucci', 'hoe', 'mixtape', 'jail', 'dropping']",1
"['wat', 'niggas', 'wrong', 'hoe', 'love', 'money']",1
"['issue', 'like', 'holographic', 'loyal', 'daddy', 'bitch', 'sound', 'find', 'mewtwo', 'lol', 'burb']",1
"['easy', 'fact', 'cum', 'hoe']",1
"['charlie', 'major', 'sheen', 'respect', 'real', 'fucking']",1
"['bae', 'wish', 'hoe', 'get']",1
"['fuck', 'bitch', 'twerke', 'cook']",1
"['bitch', 'wtf']",1
"['fight', 'good', 'zoe', 'man', 'madam', 'shut', 'pussy']",1
"['lmao', 'snake', 'bitch', 'fucking']",1
"['sheesh', 'hoe', 'booty', 'big', 'damn']",1
"['report', 'tune', 'bum', 'update', 'week', 'stay']",0
"['coloured', 'wear', 'lmfao', 'cargos', 'girl', 'haircut', 'yes', 'cheat', 'play', 'khaki', 'soccer']",0
"['ass', 'year', 'oregon', 'program', 'rft', 'field', 'choke', 'trash']",1
"['eagle', 'def', 'cowboy', 'like', 'good', 'terrell', 'bitch', 'cry', 'lol', 'amp', 'dude', 'owens', 'romo']",1
"['people', 'hate', 'lmfaoooo', 'nigger', 'black']",1
"['potent', 'bitch']",1
"['sol', 'dirty', 'lad', 'sleep', 'past', 'lick', 'pissed']",0
"['sol', 'boy', 'long', 'love', 'soft', 'frat']",0
"['sol', 'arch', 'lad', 'hot', 'sexy']",0
"['feel', 'get', 'hoe', 'fam', 'cheat', 'depend', 'nah', 'female']",1
"['get', 'lol', 'hick']",0
"['twitter', 'shit', 'bitch', 'new', 'america', 'south', 'confuse']",1
"['nasty', 'ass', 'cause', 'like', 'toto', 'vagina', 'think', 'santi', 'mean', 'pussy']",1
"['choose', 'ugly', 'ass', 'actually', 'fat', 'bitch']",1
"['vibe', 'kill', 'di', 'bitch', 'try', 'miley', 'love']",1
"['everybody', 'wear', 'say', 'bitch', 'nigga', 'tired', 'tight', 'big', 'look', 'mean', 'shirt', 'grim']",1
"['climate', 'change', 'bird', 'thank', 'grandkid']",0
"['stay', 'beautiful', 'bitch']",1
"['gurls', 'shit', 'playin', 'jus', 'purple', 'track', 'hoe', 'sum', 'stupid', 'ceeeleee', 'wutkinda', 'gurl', 'man']",1
"['get', 'bitch', 'tall', 'blurry', 'money']",1
"['see', 'obsess', 'nigga', 'bitch', 'obsessed']",1
"['kobe', 'let', 'talk', 'forget', 'smh', 'mean', 'stay', 'trash']",1
"['nigger', 'lmfao']",1
"['bad', 'people', 'asian', 'bitch', 'mixed', 'lol', 'ask']",1
"['snake', 'like', 'ariza', 'lmaoo', 'coward', 'roach', 'cripple', 'hero']",1
"['foster', 'whoa', 'chill', 'imaginary', 'home', 'trash']",0
"['hoe', 'sleep', 'tired', 'quiet', 'lowkey']",1
"['nigger', 'stop', 'bring', 'mention', 'weird']",1
"['love', 'hoe']",1
"['ass', 'homeboy', 'bitch', 'girl', 'nigga', 'weak']",1
"['bad', 'advice', 'think', 'lol', 'speed', 'give', 'pussy']",1
"['tweet', 'quote', 'animal', 'favorite', 'pussy']",1
"['beethoven', 'stripper', 'hate', 'hoe', 'ballet', 'pop', 'dancer', 'tell', 'pussy']",1
"['beer', 'pussy', 'andrewbryant', 'poff', 'smh', 'vision', 'double']",1
"['computer', 'bitch', 'damn', 'twerk']",1
"['takin', 'prince', 'bitch', 'art']",1
"['government', 'claim', 'people', 'white', 'slander', 'black', 'aid', 'welfare', 'trash']",0
"['role', 'play', 'bitch', 'care']",1
"['lime', 'wrong', 'bitch', 'find', 'dis', 'tree', 'bro', 'take', 'hide']",1
"['nike', 'drake', 'new', 'jordan', 'fag', 'yes', 'dude', 'shoe', 'glitter', 'release']",1
"['inna', 'lmaoo', 'ghetto']",0
"['teach', 'hoe', 'know', 'austin', 'curve']",0
"['bitch', 'know', 'dick', 'cook', 'one', 'suck']",1
"['choose', 'lol', 'fat', 'hoe']",1
"['loyal', 'hoesaintloyal', 'hoe', 'expect']",1
"['ass', 'bitch']",1
"['bad', 'niggas', 'retweetin', 'bitch', 'tired', 'nake', 'miley', 'lmaooo', 'cyrus', 'type', 'bruh']",1
"['fuk', 'fuck', 'bitch', 'cowgirl', 'game', 'tony', 'lol', 'mean', 'lmao', 'mavs', 'romo']",1
"['chocolate', 'charlie', 'floor', 'holy', 'shit', 'roll', 'laugh', 'freddie', 'highmore', 'factory']",1
"['like', 'feel', 'whata', 'anonymous', 'sex', 'faggot', 'want']",1
"['follower', 'bitch', 'somebody']",1
"['clearly', 'bitch', 'care', 'annoying']",1
"['niggas', 'catch', 'slick', 'hoe', 'catfish', 'thinkin']",1
"['worried', 'bout', 'worry', 'bitch', 'real']",1
"['niggas', 'handle', 'hoe', 'real', 'insecure']",1
"['scooting', 'come', 'tent', 'like', 'fuck', 'shit', 'bitch', 'lmao']",1
"['sharing', 'cousin', 'say', 'hoe', 'brother', 'love', 'care', 'share']",1
"['break', 'problem', 'wanna', 'hoe', 'hungry', 'food', 'ionn', 'spend', 'money']",1
"['lyin', 'hoe', 'dese', 'nigga']",1
"['yeah', 'fuck', 'bitch']",1
"['throw', 'lmao', 'season', 'nfl', 'lead', 'interception', '27th', 'eli', 'trash', 'manning']",0
"['senior', 'brown', 'calls', 'team', 'quit', 'bitch', 'anthony', 'racist', 'coach', 'head', 'usc', 'steve', 'sarkisian']",0
"['stfu', 'guess', 'time', 'pussy', 'zero', 'mansplaining', 'adio']",1
"['chill', 'lad', 'scally', 'sexy']",0
"['bitch', 'share', 'mine']",1
"['bitch', 'impress', 'simple', 'broke', 'money']",1
"['control', 'anybody', 'people', 'pisce', 'bitch', 'change', 'let', 'rigghhht']",1
"['idk', 'blah', 'tuku']",0
"['mad', 'cuh', 'tuku', 'hahaha', 'ita', 'suure']",0
"['crazy', 'hoe']",1
"['kevin', 'hart', 'go', 'bitch', 'slice']",1
"['bitch', 'oomf', 'dam', 'fuckin', 'fine']",1
"['magaluf', 'wonder', 'probly', 'nude', 'boy', 'girl', 'drink', 'send', 'fag', 'twitt', 'head', 'give']",1
"['newsatquestion', 'later', 'maybe', 'bitch', 'pinkman', 'yeah', 'jesse', 'steve']",1
"['thigh', 'hickie', 'right', 'pussy']",1
"['ugly', 'ass', 'monkey', 'longer', 'beautiful', 'love', 'young']",1
"['come', 'bitch']",1
"['faggot', 'bitch']",1
"['ipad', 'friday', 'let', 'work', 'yea', 'faggot', 'ball']",1
"['lad', 'scally']",0
"['yesterday', 'nigger', 'stupid', 'gerryshalloweenparty', 'halloween']",1
"['walk', 'supahot', 'teacher', 'bitch', 'fohead', 'test', 'drop', 'chrus']",1
"['shit', 'forever', 'eat', 'lol', 'love', 'pussy']",1
"['nasty', 'like', 'hoe', 'fam', 'med', 'taste', 'slush']",1
"['nasty', 'slush', 'hoe', 'fam']",1
"['fuck', 'bobby', 'get', 'bitch', 'hoe', 'yea', 'live', 'hell', 'workout', 'play']",1
"['gucci', 'bitch', 'mane', 'stoner']",1
"['bar', 'bitch', 'handle', 'ride']",1
"['hoe', 'traphoussseeeee']",1
"['bitter', 'death', 'sad', 'stark', 'character', 'man']",0
"['harbor', 'bitch', 'hoe', 'bus', 'lol', 'party']",1
"['love', 'pussy']",1
"['come', 'lana', 'promo', 'bitch', 'del', 'mtvhottest', 'video', 'bitchy', 'rey', 'little', 'ultraviolence']",1
"['way', 'fuck', 'kittycopter', 'lmfao', 'bitch']",1
"['explain', 'jihadi', 'highway', 'help', 'fighter', 'smuggler']",0
"['got', 'aww', 'avi', 'bitch', 'ike', 'look', 'cute']",1
"['expose', 'fight', 'worry', 'hoe', 'simple']",1
"['exactly', 'bitch', 'size', 'healthy', 'boost']",1
"['bet', 'bye', 'bitch', 'kim']",1
"['drive', 'annoy', 'near', 'loco', 'get', 'tweet', 'bitch', 'stalker', 'dick', 'protect', 'damn', 'dope']",1
"['like', 'aye', 'girlfriend', 'pullin', 'teach', 'marack', 'hoe', 'make']",1
"['boy', 'fag', 'bruno', 'love']",1
"['beef', 'naw', 'bitch', 'sike']",1
"['rally', 'rallycap', 'look', '9th', 'yankees']",0
"['advantage', 'nice', 'hoe', 'person', 'everyjuan']",1
"['birthday', 'pal', 'nigga', 'bitch', 'thank', 'happy']",1
"['fuck', 'stack', 'get', 'till', 'friday', 'hoe', 'know', 'sad', 'wait']",1
"['wit', 'yee', 'shit', 'cinco', 'dat', 'nigga', 'homeboy', 'rich', 'nicca', 'fucc', 'cuz', 'harder', 'homie']",1
"['read', 'ewww', 'say', 'nig', 'sunday']",1
"['cause', 'niggas', 'shake', 'strong', 'pussy', 'nigga', 'go', 'right', 'punch', 'mush', 'real', 'face']",1
"['stank', 'fresh', 'girl', 'pussy']",1
"['ass', 'mad', 'great', 'thing', 'slap', 'get', 'girl', 'week', 'haha', 'pussy']",1
"['well', 'mad', 'texans', 'yeah', 'retard', 'fucking']",1
"['mild', 'like', 'blonde', 'bitch', 'hoe', 'dark', 'wtf', 'look', 'seat', 'amp', 'black']",1
"['fuck', 'bitch', 'right', 'left', 'lane', 'need', 'face', 'stay', 'outta']",1
"['boy', 'hate', 'bitch', 'smh', 'deny']",1
"['say', 'straight', 'eat', 'nig', 'butt', 'face']",1
"['ass', 'boss', 'bitch', 'corner', 'sit', 'need']",1
['hoe'],1
"['shit', 'street', 'paul', 'bout', 'oooh', 'bitch', 'betta', 'rental', 'weekend', 'gettin', 'thinkin', 'stay']",1
"['college', 'story', 'lock', 'nigga', 'bitch', 'hold', 'military', 'different']",1
"['friend', 'hate', 'hoe', 'ratchet']",1
"['fuck', 'love', 'hoe', 'niggas']",1
"['fuck', 'meet', 'lad', 'hot', 'love', 'sexy', 'meat', 'trainer', 'scally']",1
"['fuck', 'lad', 'sniff', 'yeah', 'perve', 'scally']",1
"['love', 'bitch', 'sosa']",1
"['prob', 'cause', 'watch', 'smh', 'wtf', 'legit', 'second', 'retard']",1
"['cat', 'idea', 'pussy']",1
"['boy', 'woof', 'sexy', 'thug', 'scally']",1
"['phone', 'make', 'ringing', 'bitch', 'damn', 'marry', 'call', 'demand']",1
"['funny', 'hoe', 'think', 'lmaoo', 'favorite', 'tevin', 'sophomore', 'little']",1
"['fuck', 'position', 'sex', 'bitch', 'soul', 'outta']",1
"['bore', 'suppose', 'faggot', 'cute']",1
"['mans', 'treasure', 'trash']",0
"['got', 'bad', 'like', 'iongotnotype', 'thing', 'bitch', 'type']",1
"['feel', 'doubt', 'nig', 'coach', 'lassen', 'want']",1
"['cocaine', 'teeth', 'white', 'bitch', 'gold', 'chain', 'god']",1
"['shhhhh', 'hoe']",1
"['thot', 'chiraq', 'roller', 'hoe', 'know', 'america']",1
"['go', 'bitch', 'bus', 'miss', 'lie', 'driver']",1
"['hate', 'bitch', 'try', 'tryin', 'endzone', 'soul', 'score', 'friendzone']",1
"['try', 'ashley', 'bird', 'land', 'hahaha', 'mouth', 'young', 'deny']",0
"['gimp', 'bitch', 'lol', 'huh', 'tht']",1
"['woof', 'ride']",0
"['victoria', 'bitch', 'mitchell', 'love', 'god']",1
"['shit', 'distance', 'wack', 'bitch', 'long', 'know', 'cheat']",1
"['smh', 'bitch', 'right']",1
"['ban', 'get', 'life', 'millon', 'amp', 'dollar', 'pay', 'fine', 'pussy']",1
"['true', 'know', 'nigger', 'blue', 'rose', 'red', 'black', 'violet']",1
"['protecttheanimal', 'sill', 'try', 'bird', 'open', 'fly', 'smack', 'sit', 'window']",0
"['nigga', 'sound', 'gon', 'fuckin', 'retard']",1
"['video', 'likely', 'mock', 'entire', 'medium', 'crybaby']",0
"['soup', 'cracker', 'dip', 'kikis', 'smile', 'shy', 'stfu', 'mom', 'angelique']",1
"['tebow', 'starkville', 'team', 'get', 'tim', 'hoe', 'nfl', 'smh', 'cut']",1
"['bitch', 'damn', 'karma', 'godprotectshisangel', 'sip', 'tea']",1
"['fuck', 'gym', 'hot', 'yeah', 'fuckin', 'pussy']",1
"['arrest', 'airport', 'jihadi', 'ajmi', 'kuwait', 'hajjaj', 'patron']",0
"['turn', 'fireman', 'cause', 'hoe']",1
"['get', 'abortion', 'bitch', 'dick', 'lil', 'god', 'tht', 'bby']",1
"['fuck', 'like', 'actually', 'argue', 'watch', 'hate', 'bitch', 'try', 'dick', 'woman', 'pussy']",1
"['fuck', 'come', 'cop', 'run', 'wanna', 'smoke', 'retarded', 'weed', 'public', 'man']",1
"['tweety', 'bird']",0
"['like', 'thotermelon', 'pussy', 'sweet', 'watermelon']",1
"['rapper', 'twitter', 'link', 'trash']",0
"['annoy', 'loud', 'bitch']",1
"['eventually', 'truuu', 'bitch', 'hoe', 'turn']",1
"['try', 'talk', 'oomf', 'swear', 'tomorrow', 'pussy']",1
"['lie', 'crazy', 'bitch', 'pretend']",1
"['bye', 'hoe']",1
"['jackie', 'grill', 'blondeproblem', 'cheese', 'retard']",1
"['ass', 'niggas', 'reason', 'hate', 'give', 'pussy']",1
"['sole', 'photo', 'heaven']",0
"['dash', 'evaaaa', 'bitch', 'win', 'stacey', 'badd']",1
"['bitch', 'sunday']",1
"['fact', 'shit', 'bitch', 'lmao', 'baldheade']",1
"['fuck', 'wit', 'tweakin', 'hoe', 'shmurda']",1
"['7th', 'like', 'spook', 'actin', 'day']",0
"['break', 'feel', 'neck', 'savage', 'bitch', 'lil', 'sorry']",1
"['sockfetish', 'scallie', 'sneakersex', 'hot', 'trainersex', 'love', 'sniff', 'kinky', 'scally', 'fucking']",1
"['ass', 'fuck', 'niggas', 'dumb', 'hoe', 'pressed', 'oreo', 'weak', 'weed']",1
"['eaterrrrrrrrr', 'turn', 'bitch']",1
"['screen', 'shoot', 'finna', 'come', 'asap', 'chiraq', 'hoe', '51st', 'fan', 'dese', 'nikki', 'trust', 'stay', 'sumn', 'tell']",1
"['aye', 'tryout', 'team', 'bowling', 'pass', 'frfr', 'retard']",1
"['get', 'attend', 'bitch', 'crazy', 'love', 'enjoy', 'want', 'party']",1
"['blinder', 'contact', 'cause', 'colored', 'lmao', 'eye']",0
"['got', 'fact', 'dude', 'hoe']",1
"['period', 'start', 'good', 'bitch', 'smack', 'rea', 'bluffin']",1
"['neva', 'cause', 'bitch', 'high', 'go', 'know', 'sister', 'life', 'perfect', 'die']",1
"['bitch', 'drug', 'wrong', 'hahahahahahah']",1
"['feel', 'pretty', 'smh', 'ghetto', 'fuckin']",1
"['austin', 'nip', 'swear', 'easily', 'man']",0
"['fuck', 'hahahahah', 'true', 'bitch', 'die', 'ride']",1
"['charlie', 'wells', 'photography', 'chaplin', 'history']",0
"['ass', 'twitter', 'see', 'bruno', 'drake', 'bitch', 'wtf', 'voice']",1
"['chill', 'faggot', 'nigga', 'cool']",1
"['sure', 'bitch', 'frfr']",1
"['twitter', 'broadcast', 'abc', 'etc', 'cnn', 'keep', 'fox', 'source', 'quiet', 'news', 'nbc', 'retard', 'fucking']",1
"['like', 'get', 'say', 'bitch', 'know', 'let', 'talk', 'wwyd', 'couple', 'money']",1
"['grudge', 'bitch', 'weirdo']",1
"['trash', 'birthday', 'call', 'cigarette', 'mariam', 'tell']",0
"['brownie', 'tonight', 'kind']",0
"['fuck', 'text', 'hurt', 'bitch', 'lol', 'damn']",1
"['yah', 'thang', 'okay', 'get', 'hoe', 'ummmmmm', 'leave', 'right']",1
"['ass', 'find', 'slope']",1
"['fit', 'nice', 'lad', 'trainer', 'gear', 'scally']",0
"['fuck', 'lad', 'hot', 'bro', 'hell', 'sexy', 'yeah', 'gear', 'scally']",1
"['fuck', 'mate', 'help', 'love', 'yeah', 'play', 'scally']",1
"['fuck', 'action', 'lad', 'hot', 'love', 'yeah', 'trainer', 'scally']",1
"['got', 'year', 'like', 'expose', 'bitch', 'go', 'promise']",1
"['fuck', 'dirty', 'bitch', 'hot', 'fucker', 'eat', 'yeah', 'lick', 'trainer']",1
"['good', 'think', 'different', 'yeah', 'local', 'celebrity', 'meghan', 'pussy']",1
"['beginning', 'see', 'walk', 'say', 'ajumma', 'listen', 'lmaoo', 'wow', 'trash']",0
